,POS Txn,Dept,ID,Sales U
2992,16120100160037008783,0110,1,1
2993,16120100160037008784,0353,36,1
2994,16120100160037008784,0597,93,1
2995,16120100160037008784,0598,94,1
2996,16120100160037008784,0962,170,1
2997,16120100160037008785,0380,46,1
2998,16120100160037008786,0271,26,2
2999,16120100160037008786,0845,146,1
3000,16120100160037008786,0941,167,1
3001,16120100160037008787,0532,72,2
3002,16120100160037008787,0836,143,10
3003,16120100160037008788,0961,169,1
3004,16120100160037008788,0962,170,2
3005,16120100160037008788,0973,175,2
3006,16120100160037008789,0826,138,1
3007,16120100160037008790,0380,46,2
3008,16120100160037008790,0530,70,3
3009,16120100160037008790,0585,81,1
3010,16120100160037008790,0836,143,1
3011,16120100160037008790,0973,175,9
3012,16120100160037008790,0983,177,2
3013,16120100160037008791,0076,268,3
3014,16120100160037008791,0188,19,1
3015,16120100160037008791,0240,24,1
3016,16120100160037008791,0280,27,1
3017,16120100160037008791,0597,93,1
3018,16120100160037008791,0603,99,1
3019,16120100160037008791,0646,110,23
3020,16120100160037008791,0722,122,2
3021,16120100160037008791,0879,158,4
3022,16120100160037008791,0884,160,1
3023,16120100160037008791,0973,175,2
3024,16120100160037008792,0984,178,1
3025,16120100160037008793,0177,12,2
3026,16120100160037008793,0973,175,5
3027,16120100160037008794,0973,175,2
3028,16120100160037008795,0369,45,1
3029,16120100160037008795,0973,175,2
3030,16120100160037008796,0597,93,1
3031,16120100160037008796,0604,100,4
3032,16120100160037008796,0638,106,1
3033,16120100160037008797,0984,178,2
3034,16120100160037008798,0639,107,1
3035,16120100160037008798,0962,170,1
3036,16120100160037008799,0360,42,3
3037,16120100160037008799,0597,93,1
3038,16120100160037008800,0012,263,1
3039,16120100160037008800,0530,70,15
3040,16120100160037008800,0532,72,7
3041,16120100160037008800,0597,93,1
3042,16120100160037008800,0640,108,1
3043,16120100160037008800,0646,110,2
3044,16120100160037008800,0826,138,3
3045,16120100160037008800,0836,143,8
3046,16120100160037008800,0850,148,2
3047,16120100160037008800,0961,169,1
3048,16120100160037008800,0973,175,5
3049,16120100160037008801,0845,146,1
3050,16120100160037008802,0380,46,1
3051,16120100160037008802,0532,72,2
3052,16120100160037008803,0597,93,2
3053,16120100160037008804,0071,266,2
3054,16120100160037008804,0601,97,1
3055,16120100160037008804,0603,99,2
3056,16120100160037008805,0240,24,1
3057,16120100160037008806,0973,175,1
3058,16120100160037008807,0836,143,8
3059,16120100160037008808,0597,93,2
3060,16120100160037008808,0603,99,2
3061,16120100160037008808,0604,100,1
3062,16120100160037008808,0822,278,1
3063,16120100160037008808,0836,143,1
3064,16120100160037008809,0343,34,1
3065,16120100160037008810,0531,71,1
3066,16120100160037008811,0380,46,2
3067,16120100160037008811,0532,72,2
3068,16120100160037008811,0961,169,1
3069,16120100160037008811,0962,170,3
3070,16120100160037008811,0965,171,2
3071,16120100160037008811,0973,175,1
3072,16120100160037008812,0597,93,2
3073,16120100160037008812,0604,100,3
3074,16120100160037008812,0634,102,1
3075,16120100160037008812,0879,158,2
3076,16120100160037008812,0962,170,1
3077,16120100160037008813,0601,97,1
3078,16120100160037008813,0973,175,1
3079,16120100160037008814,0973,175,1
3080,16120100160037008815,0590,86,2
3081,16120100160037008815,0603,99,1
3082,16120100160037008815,0962,170,1
3083,16120100160037008815,0973,175,1
3084,16120100160037008816,0343,34,2
3085,16120100160037008816,0360,42,7
3086,16120100160037008817,0368,44,1
3087,16120100160037008817,0640,108,5
3088,16120100160037008817,0846,147,2
3089,16120100160037008818,0593,270,1
3090,16120100160037008818,0973,175,1
3091,16120100160037008819,0240,24,1
3092,16120100160037008819,0261,250,1
3093,16120100160037008819,0636,104,1
3094,16120100160037008819,0646,110,9
3095,16120100160037008819,0884,160,1
3096,16120100160037008819,0961,169,1
3097,16120100160037008819,0973,175,2
3098,16120100160037008820,0532,72,6
3099,16120100160037008820,0603,99,1
3100,16120100160037008820,0983,177,1
3101,16120100160037008821,0163,6,1
3102,16120100160037008821,0532,72,3
3103,16120100160037008821,0590,86,2
3104,16120100160037008821,0593,270,1
3105,16120100160037008821,0603,99,2
3106,16120100160037008821,0973,175,4
3107,16120100160037008821,0982,176,5
3108,16120100160037008821,0983,177,1
3109,16120100160037008822,0167,8,1
3110,16120100160037008822,0175,11,1
3111,16120100160037008823,0639,107,1
3112,16120100160037008823,0982,176,1
3113,16120100160037008824,0961,169,1
3114,16120100160037008824,0962,170,1
3115,16120100160037008824,0973,175,2
3116,16120100160037008825,0360,42,1
3117,16120100160037008825,0369,45,1
3118,16120100160037008825,0395,49,1
3119,16120100160037008825,0421,53,1
3120,16120100160037008825,0470,61,1
3121,16120100160037008825,0826,138,1
3122,16120100160037008825,0973,175,2
3123,16120100160037008826,0510,64,1
3124,16120100160037008826,0593,270,3
3125,16120100160037008826,0603,99,1
3126,16120100160037008826,0639,107,1
3127,16120100160037008826,0822,278,1
3128,16120100160037008827,0836,143,10
3129,16120100160037008828,0291,28,1
3130,16120100160037008829,0598,94,1
3131,16120100160037008830,0530,70,2
3132,16120100160037008830,0603,99,1
3133,16120100160037008830,0604,100,3
3134,16120100160037008830,0836,143,8
3135,16120100160037008830,0845,146,1
3136,16120100160037008830,0879,158,4
3137,16120100160037008830,0982,176,1
3138,16120100160037008830,0991,179,2
3139,16120100160037008831,0360,42,1
3140,16120100160037008831,0597,93,8
3141,16120100160037008831,0836,143,1
3142,16120100160037008831,0879,158,2
3143,16120100160037008831,0941,167,1
3144,16120100160037008832,0240,24,3
3145,16120100160037008832,0261,250,2
3146,16120100160037008832,0530,70,1
3147,16120100160037008832,0597,93,1
3148,16120100160037008832,0982,176,1
3149,16120100160037008832,0983,177,3
3150,16120100160037008833,0177,12,1
3151,16120100160037008833,0593,270,1
3152,16120100160037008834,0532,72,2
3153,16120100160037008834,0603,99,1
3154,16120100160037008834,0962,170,1
3155,16120100160037008835,0230,23,2
3156,16120100160037008835,0797,294,1
3157,16120100160037008835,0826,138,1
3158,16120100160037008836,0355,38,1
3159,16120100160037008837,0310,30,1
3160,16120100160037008837,0355,38,2
3161,16120100160037008837,0359,41,1
3162,16120100160037008837,0368,44,1
3163,16120100160037008837,0845,146,1
3164,16120100160037008837,0983,177,3
3165,16120100160037008838,0360,42,6
3166,16120100160037008838,0369,45,4
3167,16120100160037008838,0391,48,1
3168,16120100160037008838,0597,93,4
3169,16120100160037008838,0973,175,1
3170,16120100160037008838,0983,177,1
3171,16120100160037008839,0098,235,1
3172,16120100160037008839,0511,65,1
3173,16120100160037008839,0532,72,2
3174,16120100160037008839,0598,94,1
3175,16120100160037008840,0110,1,2
3176,16120100160037008840,0193,21,2
3177,16120100160037008840,0851,149,2
3178,16120100160037008841,0598,94,1
3179,16120100160037008841,0603,99,2
3180,16120100160037008841,0604,100,4
3181,16120100160037008842,0604,100,3
3182,16120100160037008842,0638,106,1
3183,16120100160037008843,0879,158,20
3184,16120100160037008843,0962,170,2
3185,16120100160037008844,0597,93,4
3186,16120100160037008844,0603,99,3
3187,16120100160037008844,0604,100,3
3188,16120100160037008844,0973,175,3
3189,16120100160037008845,0532,72,3
3190,16120100160037008845,0603,99,2
3191,16120100160037008845,0982,176,1
3192,16120100160037008845,0983,177,2
3193,16120100160037008846,0131,3,1
3194,16120100160037008846,0590,86,1
3195,16120100160037008846,0604,100,1
3196,16120100160037008846,0973,175,1
3197,16120100160037008847,0597,93,2
3198,16120100160037008848,0009,214,1
3199,16120100160037008848,0415,51,1
3200,16120100160037008848,0598,94,1
3201,16120100160037008848,0836,143,1
3202,16120100160037008849,0962,170,1
3203,16120100160037008850,0984,178,1
3204,16120100160037008851,0962,170,2
3205,16120100160037008852,0639,107,1
3206,16120100160037008853,0360,42,1
3207,16120100160037008853,0984,178,1
3208,16120100160037008854,0597,93,1
3209,16120100160037008854,0603,99,1
3210,16120100160037008854,0604,100,1
3211,16120100160037008854,0822,278,1
3212,16120100160037008855,0589,85,2
3213,16120100160037008856,0110,1,1
3214,16120100160037008857,0586,82,1
3215,16120100160037008857,0961,169,2
3216,16120100160037008858,0380,46,4
3217,16120100160037008859,0320,31,1
3218,16120100160037008859,0368,44,4
3219,16120100160037008859,0532,72,2
3220,16120100160037008860,0359,41,1
3221,16120100160037008860,0532,72,2
3222,16120100160037008860,0640,108,3
3223,16120100160037008860,0846,147,2
3224,16120100160037008860,0983,177,3
3225,16120100160037008861,0962,170,1
3226,16120100160037008862,0360,42,1
3227,16120100160037008863,0540,73,1
3228,16120100160037008863,0595,272,2
3229,16120100160037008864,0510,64,3
3230,16120100160037008864,0638,106,1
3231,16120100160037008864,0962,170,3
3232,16120100160037008864,0973,175,2
3233,16120100160037008865,0532,72,3
3234,16120100160037008865,0592,269,1
3235,16120100160037008865,0604,100,2
3236,16120100160037008865,0983,177,1
3237,16120100160037008866,0603,99,2
3238,16120100160037008866,0632,309,1
3239,16120100160037008866,0973,175,4
3240,16120100160037008867,0962,170,1
3241,16120100160037008868,0585,81,1
3242,16120100160037008868,0593,270,2
3243,16120100160037008868,0973,175,3
3244,16120100160037008868,0982,176,6
3245,16120100160037008869,0360,42,1
